,chunk_content,concerns
0,"THIS DOCUMENT LISTS OBSERVATIONS MADE BY THE FDA REPRESENTATIVE(S) DURING THE INSPECTION OF YOUR FACILITY. THEY ARE INSPECTIONAL OBSERVATIONS; AND DO NOT REPRESENT A FINAL AGENCY DETERMINATION REGARDING YOUR COMPLIANCE. IF YOU HAVE AN OBJECTION REGARDING AN OBSERVATION, OR HAVE IMPLEMENTED, OR PLAN TO IMPLEMENT CORRECTIVE ACTION IN RESPONSE TO AN OBSERVATION, YOU MAY DISCUSS THE OBJECTION OR ACTION WITH THE FDA REPRESENTATIVE(S) DURING THE INSPECTION OR SUBMIT THIS INFORMATION TO FDA AT THE",FDA observations do not represent a final agency determination regarding compliance. 
1,"THIS DOCUMENT LISTS OBSERVATIONS MADE BY THE FDA REPRESENTATIVE(S) DURING THE INSPECTION OF YOUR FACILITY. THEY ARE INSPECTIONAL OBSERVATIONS; AND DO NOT REPRESENT A FINAL AGENCY DETERMINATION REGARDING YOUR COMPLIANCE. IF YOU HAVE AN OBJECTION REGARDING AN OBSERVATION, OR HAVE IMPLEMENTED, OR PLAN TO IMPLEMENT CORRECTIVE ACTION IN RESPONSE TO AN OBSERVATION, YOU MAY DISCUSS THE OBJECTION OR ACTION WITH THE FDA REPRESENTATIVE(S) DURING THE INSPECTION OR SUBMIT THIS INFORMATION TO FDA AT THE",Objections to an observation can be discussed with the FDA representative during the inspection. 
2,"THIS DOCUMENT LISTS OBSERVATIONS MADE BY THE FDA REPRESENTATIVE(S) DURING THE INSPECTION OF YOUR FACILITY. THEY ARE INSPECTIONAL OBSERVATIONS; AND DO NOT REPRESENT A FINAL AGENCY DETERMINATION REGARDING YOUR COMPLIANCE. IF YOU HAVE AN OBJECTION REGARDING AN OBSERVATION, OR HAVE IMPLEMENTED, OR PLAN TO IMPLEMENT CORRECTIVE ACTION IN RESPONSE TO AN OBSERVATION, YOU MAY DISCUSS THE OBJECTION OR ACTION WITH THE FDA REPRESENTATIVE(S) DURING THE INSPECTION OR SUBMIT THIS INFORMATION TO FDA AT THE",Corrective action can be submitted to FDA.
3,"DURING AN INSPECTION OF YOUR FIRM (I) (WE) OBSERVED:  OBSERVATION 1  Aseptic manipulations are performed in an area where the unidirectional movement of air in the ISO 5 area is disrupted.  Specifically, smoke studies completed in laminar airflow workbench (Equipment ID: LAFW2) on 10/10/2018 demonstrated that air refluxes around the control,panel and where the sterile connections are made on the ExactaMix Compounder. The Compounder is used to prepare total parenteral nutrition (TPN) bags.",We observed the following irregularities:
4,"DURING AN INSPECTION OF YOUR FIRM (I) (WE) OBSERVED:  OBSERVATION 1  Aseptic manipulations are performed in an area where the unidirectional movement of air in the ISO 5 area is disrupted.  Specifically, smoke studies completed in laminar airflow workbench (Equipment ID: LAFW2) on 10/10/2018 demonstrated that air refluxes around the control,panel and where the sterile connections are made on the ExactaMix Compounder. The Compounder is used to prepare total parenteral nutrition (TPN) bags.",1. Aseptic manipulations are performed in an area where the unidirectional movement of air in the ISO 5 area is disrupted.
5,"DURING AN INSPECTION OF YOUR FIRM (I) (WE) OBSERVED:  OBSERVATION 1  Aseptic manipulations are performed in an area where the unidirectional movement of air in the ISO 5 area is disrupted.  Specifically, smoke studies completed in laminar airflow workbench (Equipment ID: LAFW2) on 10/10/2018 demonstrated that air refluxes around the control,panel and where the sterile connections are made on the ExactaMix Compounder. The Compounder is used to prepare total parenteral nutrition (TPN) bags.","2. Smoke studies completed in laminar airflow workbench (Equipment ID: LAFW2) on 10/10/2018 demonstrated that air refluxes around the control,panel and where the sterile connections are made on the ExactaMix Compounder."
6,"OBSERVATION 2  Deficiencies were noted with aseptic processing performed within the ISO 5 areas.  Specifically,  (A) On 2/19/2019, an operator was observed reusing an alcohol prep pad that had come in contact with the ISO 5 biosafety cabinet (Equipment ID: BSC2) workbench surface and the chemo prep mat during the preparation of Tacrolimus Continuous Infusion, 5 mg/ml.  (B) On 2/22/2019, operators were observed performing aseptic processing in ISO Class 5 laminar airflow",A) Reusing an alcohol prep pad that had come in contact with the ISO 5 biosafety cabinet (Equipment ID: BSC2) workbench surface and the chemo prep mat.
7,"OBSERVATION 2  Deficiencies were noted with aseptic processing performed within the ISO 5 areas.  Specifically,  (A) On 2/19/2019, an operator was observed reusing an alcohol prep pad that had come in contact with the ISO 5 biosafety cabinet (Equipment ID: BSC2) workbench surface and the chemo prep mat during the preparation of Tacrolimus Continuous Infusion, 5 mg/ml.  (B) On 2/22/2019, operators were observed performing aseptic processing in ISO Class 5 laminar airflow",B) Performing aseptic processing in ISO Class 5 laminar airflow.
8,"(C) On 2/22/2019, an operator was observed resting her gloved hands on the work surface of LAFW1 during preparation of Bone Marrow Pink Syringes (not administered in humans). During the operation, the technician was observed to rest one hand at a time directly on the ISO 5 work surface and use the other hand to hold the barrel of a syringe. The operator's arm was also observed to pass over the open bottle of DMEM (Dulbecco's modified eagle medium).  OBSERVATION 3",Operator's arm was observed to pass over the open bottle of DMEM
9,"(C) On 2/22/2019, an operator was observed resting her gloved hands on the work surface of LAFW1 during preparation of Bone Marrow Pink Syringes (not administered in humans). During the operation, the technician was observed to rest one hand at a time directly on the ISO 5 work surface and use the other hand to hold the barrel of a syringe. The operator's arm was also observed to pass over the open bottle of DMEM (Dulbecco's modified eagle medium).  OBSERVATION 3",Operator was observed resting her gloved hands on the work surface of LAFW1
